subj, block_no, curtrial, totaltrial, t1, t1_response, t1_position, estimated_position_t1, t2, t2_response, t2_position, estimated_position_t2, lag, estimated_lag, sequence
1,0, 1, 1, V, v, 5, 8.588882, F, f, 9999, 12.050552, 5, 3.461670, seq
1,0, 2, 2, T, t, 8, 10.323074, H, h, 9999, 12.066666, 5, 1.743591, seq
1,0, 3, 3, H, h, 5, 7.294785, R, none, 9999, 9992.000000, 3, 9984.705215, seq
1,0, 4, 4, R, r, 6, 5.616821, E, e, 9999, 7.764755, 5, 2.147934, seq
1,0, 5, 5, P, p, 8, 9.546112, C, c, 9999, 9.081512, 1, -0.464600, seq
1,0, 6, 6, B, b, 4, 8.017700, E, e, 9999, 11.323105, 9, 3.305405, seq
1,0, 7, 7, C, c, 4, 7.442993, K, none, 9999, 9992.000000, 1, 9984.557007, seq
1,0, 8, 8, P, p, 8, 9.623993, none, none, 8, 9992.000000, 0, 9982.376007, seq
1,0, 9, 9, K, k, 6, 6.132446, B, b, 9999, 6.422318, 3, 0.289871, seq
1,0, 10, 10, P, p, 7, 7.958618, J, j, 9999, 7.568710, 1, -0.389908, seq
1,0, 11, 11, U, u, 6, 8.499924, none, none, 6, 9992.000000, 0, 9983.500076, seq
1,0, 12, 12, C, c, 4, 7.492004, F, f, 9999, 8.780228, 5, 1.288223, seq
1,0, 13, 13, D, d, 5, 4.476471, U, u, 9999, 6.253464, 1, 1.776993, seq
1,0, 14, 14, D, d, 6, 6.090988, V, v, 9999, 12.548889, 9, 6.457901, seq
1,0, 15, 15, D, d, 8, 10.305786, A, a, 9999, 13.622437, 9, 3.316650, seq
1,0, 16, 16, J, j, 6, 8.555984, U, u, 9999, 11.234146, 7, 2.678162, seq
1,0, 17, 17, A, a, 4, 7.196259, F, f, 9999, 9.651520, 7, 2.455261, seq
1,0, 18, 18, U, u, 7, 9.637924, A, a, 9999, 11.954712, 9, 2.316788, seq
1,0, 19, 19, T, t, 7, 9.661758, U, u, 9999, 10.217499, 5, 0.555740, seq
1,0, 20, 20, K, k, 7, 11.955887, R, none, 9999, 9992.000000, 3, 9980.044113, seq
1,0, 21, 21, P, p, 7, 9.002625, D, d, 9999, 11.289032, 7, 2.286407, seq
1,0, 22, 22, P, p, 5, 8.314621, E, e, 9999, 10.378296, 7, 2.063675, seq
1,0, 23, 23, H, h, 4, 8.516876, K, k, 9999, 9.273361, 3, 0.756485, seq
1,0, 24, 24, V, v, 4, 10.247543, none, none, 4, 9992.000000, 0, 9981.752457, seq
1,0, 25, 25, R, r, 8, 8.922729, P, none, 9999, 9992.000000, 3, 9983.077271, seq
1,0, 26, 26, D, d, 6, 7.629807, T, t, 9999, 6.348297, 1, -1.281509, seq
1,0, 27, 27, T, t, 8, 7.597916, D, d, 9999, 10.669510, 7, 3.071594, seq
1,0, 28, 28, none, none, 0, 8881.000000, none, none, 0, 9992.000000, 0, 1111.000000, seq
1,0, 29, 29, K, k, 5, 7.408920, none, none, 5, 9992.000000, 0, 9984.591080, seq
1,0, 30, 30, E, e, 5, 6.563644, T, t, 9999, 13.422867, 9, 6.859222, seq
1,0, 31, 31, B, b, 7, 7.932938, none, none, 7, 9992.000000, 0, 9984.067062, seq
1,0, 32, 32, V, v, 5, 7.309387, R, r, 9999, 7.556290, 5, 0.246902, seq
1,0, 33, 33, none, none, 0, 8881.000000, none, none, 0, 9992.000000, 0, 1111.000000, seq
1,0, 34, 34, V, v, 4, 7.565689, K, k, 9999, 12.589172, 9, 5.023483, seq
1,0, 35, 35, P, p, 5, 6.661331, T, t, 9999, 14.104996, 9, 7.443665, seq
1,0, 36, 36, E, e, 5, 7.935120, none, none, 5, 9992.000000, 0, 9984.064880, seq
1,0, 37, 37, B, b, 6, 7.583649, A, a, 9999, 10.464066, 7, 2.880417, seq
1,0, 38, 38, U, u, 8, 10.674042, K, k, 9999, 11.791901, 7, 1.117859, seq
1,0, 39, 39, R, r, 8, 11.544998, D, d, 9999, 12.630966, 9, 1.085968, seq
1,0, 40, 40, R, r, 8, 9.327072, none, none, 8, 9992.000000, 0, 9982.672928, seq
1,0, 41, 41, U, u, 5, 10.072144, R, r, 9999, 13.896698, 7, 3.824554, seq
1,0, 42, 42, K, k, 4, 11.003693, none, none, 4, 9992.000000, 0, 9980.996307, seq
1,0, 43, 43, E, e, 8, 11.161301, B, d, 9999, 10.166306, 5, -0.994995, seq
1,0, 44, 44, P, p, 6, 7.020187, U, u, 9999, 12.202789, 9, 5.182602, seq
1,0, 45, 45, B, b, 7, 8.502609, C, c, 9999, 10.851288, 5, 2.348679, seq
1,0, 46, 46, T, t, 7, 11.209305, P, p, 9999, 12.349319, 9, 1.140015, seq
1,0, 47, 47, R, r, 4, 4.482178, T, t, 9999, 6.385056, 5, 1.902878, seq
1,0, 48, 48, R, r, 7, 8.035995, none, none, 7, 9992.000000, 0, 9983.964005, seq
1,0, 49, 49, K, k, 4, 8.214417, R, none, 9999, 9992.000000, 3, 9983.785583, seq
1,0, 50, 50, C, c, 6, 6.184479, E, e, 9999, 5.762680, 3, -0.421799, seq
